AdditionalInformation,QuestionStem,Answer,A,B,C,D,E,F,G
第2章,"Windows菜单中的某条选项的后面跟有省
略号""…"",这表示执行该命令后,将会出现",B,A:附加菜单,B:对话框,C:程序窗口,"D:该选项不
能用",,,
第2章,"Windows的命令菜单中,浅色的菜单表示
().",D,"A:该命令的快
捷方式","B:该命令正在起
作用",C:将弹出对话框,"D:该命令当
前不能用",,,
第2章,"Windows的下列操作中,()不能查找文件或文件夹.",D,"A:用""开始""菜单中的""查找""命令","B:右单击""开始""按钮,在弹出的菜单中选择""查找""命令","C:右单击""我的电脑""图标,在弹出的菜单中选择
""查找""命令","D:在""资源管理器""窗口 中,选择""查找""菜单中的
""查找""命令",,,
第2章,"Windows的写字板中,保存新建文档以及将现有文档更名或存放到新位置,应使用
()菜单中的""另存为""命令.",A,A:文件,B:编辑,C:视图,D:插入,,,
第2章,"Windows中,为了启动应用程序,正确的操作是().",B,A:用键盘输入应用程序图标下的标识,B:用鼠标双击该应用程序图标,C:将该应用程序图标最大化成窗口,"D:用鼠标将应用程序图标拖动到窗
口的最上方",,,
第2章,Windows中文输入法的安装按以下步骤进行().,A,"A:按""开始""->""设置""->""控制
面板""->""输入
法""->""添加""的
顺序操作","B:按""开始""->""设置""->""控制面
板""->""字体""的顺序操作","C:按""开始""->""设置""->""控制面
板""->""系统""的顺序操作","D:按""开始""-
>""设置""->""
控制面板""-
>""添加/删除
程序""的顺序",,,
第2章,"不能在Windows的任务栏中执行的操作是
().",A,"A:排列桌面图
标","B:排列和切换窗
口","C:快速启动应用
程序","D:设置系统
日期和时间",,,
第2章,"菜单栏空白处按鼠标右键出现的快捷菜单
同()是一样的.",C,A:状态栏,B:标题栏,C:工具栏,D:标尺栏,,,
第2章,"单击""开始""按钮,指向""设置"",再指向()并单击,可用其中的项目进行设备管理或
添加/删除程序.",A,A:控制面板,B:活动桌面,C:任务栏,D:文件夹选项,,,
第2章,"单击应用程序窗口左上角的小图标可以
().",A,"A:打开窗口控
制菜单",B:没有反应,C:打开快捷菜单,D:关闭窗口,,,
第2章,"当Windows程序被最小化了后,该程序().",B,A:停止运行,"B:被转入后台运
行",C:不能打开,D:不能关闭,,,
第2章,"当关掉电源后,对半导体存储器而言,下列
叙述正确的是().",B,"A:RAM的数据不
会丢失","B:ROM的数据不
会丢失","C:CPU中数据不
会丢失","D:ALU中数据
不会丢失",,,
第2章,"当鼠标指向窗口的两边时,鼠标形状变为",B,A:沙漏状,B:双向箭头,C:十字形状,D:问号状,,,
第2章,"当选定文件或文件夹后,不将文件或文件夹放到""回收站""中,而直接删除的操作是 ().",C,A:按 Delete(Del)键,"B:用鼠标直接将文件或文件夹拖放到""回收站""中",C:按 Shift+Delete( Del)键,"D:用""我的电脑""或""资源管理器""窗口中""文件""菜
单中的删除",,,
第2章,"当一个文件更名后,原文件().",B,A:丢失,"B:变成新命名的
文件",C:变成BAK文件,"D:变成系统
文件",,,
第2章,"当一个应用程序文档窗口被关闭后,该文
档信息将保存在()中.",B,A:内存,B:外存,C:剪贴板,D:内外存,,,
第2章,"当应用程序窗口最小化以后,再次打开应
用程序窗口,可以通过().",C,"A:双击应用程
序图标","B:文件菜单的运
行命令","C:单击最小化后
的图标","D:单击桌面
的任何地方",,,
第2章,复制操作的快捷键是().,A,A:Ctrl+C,B:Ctrl+V,C:Ctrl+X,D:Ctrl+A,,,
第2章,"复制活动窗口到剪切板,使用的()键.",C,A:Alt+Esc,B:Alt+Tab,"C:Alt+PrintSc
reen",D:Alt+Space,,,
第2章,复制命令是指().,A,"A:把所选定的文字和图形复
制到剪切板上","B:将剪切板中的内容复制到插入
点","C:在插人点复制所选的文字和图
形","D:把选定的内容复制到
插入点",,,
第2章,改变窗口的大小可通过().,B,A:点击窗口控制框来实现,"B:鼠标指针移至窗口边框或角上拖曳双向箭头光
标来实现",C:点击状态栏来实现,"D:移动滚动条的上、下箭头或滑块
来实现",,,
第2章,"构成主题的除了颜色、字体、效果外,还
有什么()?",C,A:文本,B:形状,C:背景,,,,
第2章,"关闭""源管理器""可以().",D,"A:单击""资源管理器""窗口左上角的图标,然后
选择""关闭""","B:单击""资源管理器""窗口右上角的""X""按钮","C:单击""资源管理器""的""文件""菜单,并选择""关
闭""",D:用以上三种方法,,,
第2章,关闭应用程序可以使用热键().,A,A:ALT+F4,B:CTRL+F4,C:SHIFT+F4,D:空格键+F4,,,
第2章,"关于""回收站""叙述正确的是().",A,A:暂存所有被删除的对象,B:回收站中的内容不能恢复,"C:清空""回收站""后,仍可用命令
方式恢复","D:回收站的内容不占硬
盘空间",,,
第2章,"关于Windows窗口的说法,以下()是正确的.",D,A:每个窗口都有滚动条,"B:每个窗口都有最大化,最小化
按钮",C:每个窗口都有还原按钮,D:每个窗口都有标题栏,,,
第2章,"关于Windows共享文件夹的说法中,正确的是().",D,"A:在任何时候在文件菜单中可找到共享命
令",B:设置成共享的文件夹的图标无变化,C:设置成共享的文件夹图标下有一个箭头,"D:设置成共享的文件夹图标下有一
个上托的手",,,
第2章,激活窗口控制菜单的方法是().,A,"A:单击窗口标题栏中的应用
程序图标","B:双击窗口标题栏中的应用程序
图标","C:单击窗口标题栏中的应用程序
名称","D:双击窗口标题栏中的
应用程序名",,,
第2章,记录在磁盘上的一组相关信息的集合称为,A,A:文件,B:外存储器,C:数字,D:内存储器,,,
第2章,"间隔选择多个文件时,按住()键不放,单击
每个要选择的文件名.",A,A:CTRL,B:SHIFT,C:ALT,D:DEL,,,
第2章,剪贴板是()一块临时存放交换信息的区,C,A:硬盘,B:ROM,C:RAM,D:应用程序,,,
第2章,"将当前活动窗口的所有信息复制到剪贴板
上使用().",C,A:PrintScreen,"B:Ctrl+PrintS
creen","C:Alt+PrintSc
reen","D:Shift+Pri
ntScreen",,,
第2章,"将鼠标指针移至()上拖曳,即可移动窗口
位置.",C,A:格式化栏,B:工具栏,C:标题栏,D:状态栏,,,
第2章,"将一个应用程序窗口最小化,表示().",C,A:终止该应用程序的运行,B:该应用程序转入后台但不再运行,C:该应用程序转入后台并继续运行,"D:该应用程序窗口缩小为桌面上(不在任务栏中)
的·一个图",,,
第2章,"将应用程序窗口最小化之后,该应用程序",D,A:停止运行,B:出错,C:暂时挂起来,D:在后台运,,,
第2章,可以将当前活动窗口中的全部内容复制到剪贴板中的操作是().,C,"A:按 Ctrl+PrintScr
een键",B:按 PrintScreen键,"C:按 Alt+PrintScre
en键","D:按 Alt+Ctrl+Pr
intScreen键",,,
第2章,"利用剪贴板进行复制时,可以复制的次数
为().",B,A:一次,B:任意次,C:二次,D:三次,,,
第2章,"利用组合功能键()可以将剪贴板中的信息
粘贴至文档中的光标插入处.",B,A:Ctrl+C,B:Ctrl+V,C:Ctrl+Z,D:Ctrl+A,,,
第2章,"某个文档窗口中已进行了多次剪切操作,
关闭该文档窗口后,剪贴板中内容为().",B,"A:第一次剪切
的内容","B:最后一次剪切
的内容","C:所有剪切的内
容",D:空白,,,
第2章,平铺命令的功能是将窗口().,D,A:顺序编码,B:层层嵌套,C:折叠起来,D:并列排列,,,
第2章,任务栏可以().,B,A:交换信息,B:交换任务,C:共享数据,D:获取帮助,,,
第2章,"任务栏上的应用程序按钮是最小化了的()
窗口.",A,A:应用程序,B:对话框,C:文档,D:菜单,,,
第2章,"若屏幕上同时显示多个窗口,可以根据窗口中()栏的特殊颜色来判断它是否为当前
活动窗口.",D,A:菜单,B:符号,C:状态,D:标题,,,
第2章,"删除某个应用程序的快捷方式图标,表示 ().",A,"A:只删除了图标,该应用程序
被保留","B:既删除了图标,又删除了该
程序","C:该程序在运行时可能会出现问
题","D:磁盘上的该程序将无
法启动",,,
第2章,"实行()操作,可以把剪贴板上的信息粘贴
到某个文档窗口的插入点处.",B,A:按Clt+C键,B:按Clt+V键,C:按Clt+Z键,D:按Clt+X键,,,
第2章,使用下面热键可以打开开始菜单().,A,A:CTRL+ESC,B:ALT+ESC,C:SHIFT+ESC,D:ESC,,,
第2章,"鼠标的基本操作是(),单击,双击和拖动",B,A:右击,B:指示,C:左击,D:滑动,,,
第2章,"顺序连续选择多个文件时,先单击要选择的第一个文件名,然后在键盘上按住()键,移动鼠标单击要选择的最后一个文件名,
则一组连续文件即被选定.",A,A:SHIFT,B:CTRL,C:ALT,D:DEL,,,
第2章,"唐小姐在MicrosoftWindowsXP上工作.她编辑并保存文件,然后让文件在她的计算机上一直打开.一小时后,文件仍然在她的计算机上打开.这时,余小姐尝试编辑同一
文件.将会发生什么情况()?",A,A:余小姐将能够进行编辑并保存她所做的更改,B:余小姐将无法编辑和保存,"C:余小姐将能够编辑和保存该文件,但是将无法更改唐小姐已更
改的内容","D:唐小姐的版本将自动被签出,其他人将无法更
改该文件",,,
第2章,通常打开快捷菜单的操作是().,C,A:单击左键,B:双击左键,C:单击右键,D:双击右键,,,
第2章,"通过剪贴板在Windows应用程序间共享数
据可选择()菜单中的命令来实现.",B,A:文件,B:编辑,C:格式,D:工具,,,
第2章,"退出Windows时,直接关闭微机电源可能
产生的后果是().",D,"A:可能破坏临
时设置","B:可能破坏某些
程序的数据","C:可能造成下次
启动时的故障","D:上述各点
均是",,,
第2章,"为了屏幕的简洁,可将目前不使用的程序
最小化,缩成按钮放置在().",B,A:工具栏,B:任务栏,C:格式化栏,D:状态栏,,,
第2章,"修改桌面上的文件夹名,有下列步骤:①输入新的文件夹名;②按回车键;③右键单击
此文件夹;④键入""M"".正确的操作步骤是",C,A:①③②④,B:①②③④,C:③④①②,D:④③①②,,,
第2章,"选定要删除的文件,然后按()键,即可删除
文件.",D,A:Alt,B:Ctrl,C:Shift,D:Del,,,
第2章,"要选定多个连续文件或文件夹的操作为:
先单击第一项,然后()再单击最后一项.",C,A:按住Alt键,B:按住Ctrl键,C:按住Shift键,D:按住Del键,,,
第2章,"以下在选定不相邻的多个区域时使用的键
盘按键是().",C,A:Shift,B:Alt,C:Ctrl,D:Enter,,,
第2章,"用鼠标拖动的方法移动一个目标时,一般
是按住()键,同时用左键拖动.",C,A:Ctrl,B:Alt,C:Shift,D:Insert,,,
第2章,"在Windows环境中,每个窗口的""标题栏""的右边都有一个标有空心方框的方形按
钮,用鼠标左键单击它,可以().",C,A:将该窗口最小化,B:关闭该窗口,C:将该窗口最大化,D:将该窗口还原,,,
第2章,"在Windows中,为了启动一个应用程序,下列操作正确的是().",B,"A:从键盘输入该应用程序图
标下的标识",B:用鼠标双击该应用程序图标,"C:用鼠标将应用程序图标拖曳到
窗口的最上方","D:将该应用程序图标最
大化成窗口",,,
第2章,"在Windows中要选中除已选中的文件和文件夹外的文件和文件夹,可选择()菜单中
的""反向选择""命令.",B,A:文件,B:编辑,C:查看,D:工具,,,
第2章,"在Windows系统中,""复制""操作是指().",D,A:把剪贴板中的内容复制到插人点,B:在插入点复制所选定的文字或图形,"C:把插入点所在段内中的文字或图形复制到插入
点","D:把所选中的文字或图形复制到剪
贴板上",,,
第2章,"在WindowsXp中,许多应用程序的""文件""菜单中都有""保存""和""另存为""两个命令,下列说法中正确的是().",C,A:这两个命令是等效的,"B:""保存""命令只能用原文件名存盘,""另存为""命令不能用原文件名存盘","C:""保存""命令用
于更新当前窗口中正在编辑的磁盘文件,如果该文件尚未命名,""保存""命令与""另
存为""命令等效","D:""保存""命
令不能用原文件名存
盘,""另存为""命令只能用原文件名存
盘",,,
第2章,"在Windows操作过程中,鼠标出现故障时,
打开""开始""菜单可使用快捷键().",C,A:Ctrl+Tab,B:Ctrl+Shift,C:Ctrl+Esc,D:Esc,,,
第2章,"在Windows操作系统中,().",D,"A:在根目录下允许建立多个同名的文件或
文件夹","B:同一文件夹中可以建立两个同名的文件或文件
夹","C:在不同的文件夹中不允许建立两个同名的文件
或文件夹","D:同一文件夹中不允许建立两个同
名的文件或",,,
第2章,"在Windows操作系统中,不同文档之间互
相复制信息需要借助于().",A,A:剪贴板,B:记事本,C:写字板,"D:磁盘缓冲
器",,,
第2章,"在Windows窗口中按()组合键可以打开菜
单上的""查看"".",C,A:ALT+F,B:ALT+E,C:ALT+V,D:ALT+H,,,
第2章,"在Windows的默认环境中,下列哪个组合
键能将选定的文档放入剪贴板中().",C,A:Ctrl+V,B:Ctrl+Z,C:Ctrl+X,D:Ctrl+A,,,
第2章,"在Windows环境下,下列操作中与剪贴板
无关的是().",D,A:剪切,B:复制,C:粘贴,D:删除,,,
第2章,"在Windows应用程序的某个文档窗口中进行了多次剪切操作,当关闭了该文档窗口
后,剪贴板中的内容是().",B,A:第一次剪切的内容,B:最后一次剪切的内容,C:所有剪切的内容,D:空白,,,
第2章,"在Windows中,操作的特点是().",A,"A:先选定操作对象,再选择操
作命令","B:先选定操作命令,再选择操作
对象","C:操作对象和操作命令需同时选
择",D:视具体任务而定,,,
第2章,"在Windows中,撤消前一步操作的快捷键",D,A:Ctrl+C,B:Ctrl+Y,C:Ctrl+V,D:Ctrl+Z,,,
第2章,"在Windows中,呈灰色显示的菜单表示().",A,"A:该菜单当前
不能选用","B:选中该菜单后
将弹出对话框","C:计算机中有病
毒","D:该菜单正
在使用",,,
第2章,"在Windows中,若要将当前窗口的画面图
像存人剪贴板中,可以按().",A,"A:Alt+Printsc
reen","B:Ctrl+Prints
creen",C:Printscreen,"D:Shift+Pri
ntscreen",,,
第2章,"在Windows中,若一个程序长时间不响应
用户要求,使用快捷键()可以结束该任务.",C,"A:Ctrl+Alt+Sh
ift","B:Ctrl+Alt+Ta
b","C:Ctrl+Alt+De
l","D:Ctrl+Alt+
Esc",,,
第2章,"在Windows中,文件名MM.txt和mm.txt().",A,"A:是同一个文
件","B:不是同一个文
件","C:有时候是同一
个文件","D:是两个文
件",,,
第2章,"在Windows中,移动窗口时,可将鼠标放在
(),然后拖动鼠标.",C,"A:窗口内任意
位置","B:窗口四角或四
边",C:窗口标题栏上,"D:窗口滚动
条上",,,
第2章,"在Windows中,允许用户同时打开()个窗",D,A:8,B:16,C:32,D:多,,,
第2章,"在Windows中,允许用户同时打开多个窗 口.但只有一个窗口处于激活状态,其特征
是标题栏高亮显示.该窗口称为()窗口.",C,A:主,B:运行,C:活动,D:前端,,,
第2章,在Windows中可按()键得到帮助信息.,A,A:F1,B:F2,C:F3,D:F10,,,
第2章,"在Windows中可按ALT+()的组合键在多个
已打开的程序窗口中.进行切换.",D,A:Enter,B:空格键,C:Insert,D:Tab,,,
第2章,"在不同驱动器的文件夹间直接用鼠标左键
拖动某一对象,执行的操作是().",B,A:移动该对象,B:复制该对象,C:删除该对象,"D:无任何结
果",,,
第2章,"在文档窗口上,要选择一批不连续排列的文件,在选择了开始的第一个文件后,按
(),用鼠标左键去单击下一个文件.",A,A:Ctrl,B:Alt,C:Shift,D:Insert,,,
第2章,"在文档窗口上,要选择一批连续排列的文件,在选择了开始的第一个文件后,按住
(),用鼠标左键去单击最后一个文件.",C,A:Ctrl,B:Alt,C:Shift,D:Insert,,,
第2章,"直接删除文件,不送入回收站的快捷键是
().",B,"A:<Ctrl>+<Del
>","B:<Shift>+<De
l>",C:<Alt>+<Del>,D:<Del>,,,
第2章,"Windows文件系统采用()形式,替代了抽
象的目录.",C,A:路径,B:目录树,C:文件夹,D:小图标,,,
第2章,"Windows支持长文件名,文件名长度最多
可达()个字符.",A,A:255,B:8,C:32,D:16,,,
第2章,Windows的文件夹组织结构是一种().,B,A:表格结构,B:树形结构,C:网状结构,D:线性结构,,,
第2章,"Windows下的""画图""程序,默认的图形文
件为().",A,A:BMP图形文件,B:GIF图形文件,C:PCX图形文件,"D:PIC图形文
件",,,
第2章,"Windows下的""写字板""功能是().",A,A:文字处理,B:表格处理,C:图形处理,D:图像处理,,,
第2章,"Windows对磁盘文件进行有效管理的一个
工具是().",D,A:写字板,B:我的文档,C:文件管理器,"D:资源管理
器",,,
第2章,"Windows附件程序组是一组用于()的应用
程序.",A,"A:辅助设备使
用",B:办公事务处理,C:硬件参数设置,D:文件管理,,,
第2章,"Windows附件中,写字板与记事本的区别是().",D,"A:写字板文档可以保存为
DOC,TXT格式,
记事本文档只
能保存为TXT格","B:写字板文档中可进行段落设 置,记事本不能","C:写字板支持图文混排,记事本只能编辑纯文本文件",D:以上都正确,,,
第2章,Windows记事本中选中全部文本的热键是,C,A:Shift+a,B:Alt+a,C:Ctrl+a,D:空格键+A,,,
第2章,Windows剪贴板程序的扩展名为().,C,A:.txt,B:.bmp,C:.clp,D:.vif,,,
第2章,"Windows剪贴板是()中的一个临时存储
区,用来临时存放文字或图形.",A,A:内存,B:显存,C:硬盘,D:应用程序,,,
第2章,Windows中控制面版的作用().,A,"A:改变Windows
的配置",B:编辑图象,C:编辑文本,D:播放媒体,,,
第2章,建新文件夹需要在资源管理器中打开().,B,A:编辑菜单,B:文件菜单,C:查看菜单,D:工具菜单,,,
第2章,文件夹中不可存放().,D,A:文件,B:多个文件,C:文件夹,D:字符,,,
第2章,"在Windows中,不能将文件复制到同一文件夹下的操作是().",B,"A:用鼠标右键将该文件拖动到同一文件夹
下",B:用鼠标左键将该文件拖动到同一文件夹下,"C:按住Ctrl键,再用鼠标左键将该文件拖到同一
文件夹下","D:先执行""编辑|复制""命令,再执行""
编辑|粘贴""",,,
第2章,"在Windows中,从硬盘中删除的文件或文
件夹一般被放在()中.",B,A:内存,B:回收站,C:控制面板,D:C盘根目录,,,
第2章,"在Windows中,可以同时打开多个文件管理窗口,用鼠标将一个文件从一个窗口拖
到另一个窗口中,通常是用于完成文件的",B,A:删除,B:移动或拷贝,C:修改或保存,D:更新,,,
第2章,"在Windows中,为保护文件不被修改,可将
它的属性设置为().",A,A:只读,B:存档,C:隐藏,D:系统,,,
第2章,"在Windows中,为了查找文件名以""A""字母
打头的所有文件,应当在查找名称框内输",B,A:A,B:A*,C:A?,D:A#,,,
第2章,"在Windows中,用""打印机""可同时打印()",D,A:2个,B:3个,C:多个,D:只有一个,,,
第2章,"在资源管理器的左窗格中,如果某个文件夹图标的左面有一个矩形框,那么,单击其中的减号,便可以().",A,A:隐藏此文件夹下的全部文件夹,B:隐藏此文件夹下的全部文件和文件夹,C:选中此文件夹并隐藏此文件夹下的全部文件夹,"D:选中此文件夹并隐藏此文件夹下
的全部文件",,,
第2章,"在资源管理器的左窗格中的目录图标上,
有""+""号的表示().",C,"A:是一个可执
行的程序",B:一定是空目录,"C:该目录有子目
录没有展开","D:一定是根
目录",,,
第2章,"在资源管理器中,双击某个文件夹图标,将
().",B,"A:删除该文件
夹","B:显示该文件夹
内容","C:删除该文件夹
文件","D:复制该文
件夹文件",,,
第2章,"资源管理器的文件夹或文件的显示方法有
几种,()不属于它的显示方式.",D,A:大图标,B:列表,C:详细资料,D:普通,,,
第2章,"资源管理器有两个小窗口,左边小窗口称
为().",A,A:文件夹窗口,B:资源窗口,C:文件窗口,"D:计算机窗
口",,,
第2章,资源管理器中选定单个文件的方法是().,D,A:空格键,B:Shift,C:Ctrl,D:单击文件,,,
第2章,Windows的系统口令是在()设置的.,C,"A:系统的安装
文件中",B:开始菜单中,C:控制面板中,"D:资源管理
器中",,,
第2章,"画矩形时,按()键能画正方形.",C,A:Ctrl,B:Alt,C:Shift,D:以上都不,,,
第2章,画图程序在()程序组中.,C,"A:控制面板中
的""系统""","B:控制面板中的
""显示""","C:程序中的""附
件""","D:程序中的""
应用程序""",,,
第2章,画图中没有的功能是().,D,A:制做墙纸,B:制做图画,C:修改图画,D:制做网页,,,
第2章,即插即用的含义是指().,D,A:不需要BIOS支持即可使用硬件,B:Windows系统所能使用的硬件,C:安装在计算机上不需要配置任何驱动程序就可使用的硬件,"D:硬件安装在计算机上后,系统会自动识别并完成驱动程序
的安装和配",,,
第2章,记事本是Windows()中的应用程序.,D,A:画图,B:菜单,C:控制面板,D:附件,,,
第2章,控制面板的作用是().,D,"A:安装管理硬
件设备","B:添加/删除应
用程序","C:改变桌面屏幕
设置","D:进行系统
管理和系统",,,
第2章,"控制面板是用来改变()的应用程序,以调
整各种硬件和软件的选项.",D,A:分组窗口,B:文件,C:程序,D:系统配置,,,
第2章,"您使用的是WindowsVista,签出文件时, 您收到错误消息.该错误消息说明您无法使用本地草稿文件夹.要消除此错误消息,
您应将站点添加到().",B,A:第三收藏夹列表中,B:受信任站点列表中,C:收藏夹或书签中(取决于您使用的浏览器),"D:WindowsVi sta的 ""SharePoint
草稿""文件夹",,,
第2章,屏幕保护的作用是().,C,"A:保护用户视
力",B:节约电能,"C:保护系统显示
器","D:保护整个
计算机系统",,,
第2章,"若将一个应用程序添加到()文件夹中,以
后启动Windows,即会自动启动该应用程",B,A:控制面板,B:启动,C:文档,D:程序,,,
第2章,"若要在记事本应用程序创建一个新的文
档,则在窗口的""文件""菜单中单击().",A,A:新建,B:打开,C:页面设置,D:保存,,,
第2章,"在Windows环境下,当微机新安装一台打
印机时,使用前必须为该打印机安装()方",D,A:打印纸,B:命令,C:菜单,D:驱动程序,,,
第2章,"在Windows中""回收站""是()文件存放的容",A,A:已删除,B:关闭,C:打开,D:活动,,,
第2章,"在Windows中,""回收站""是().",C,"A:软盘上的一
块区域","B:内存中的一块
区域","C:硬盘上的一块
区域","D:光盘中的
一块区域",,,
第2章,"在""记事本""或""写字板""窗口中,对当前编
辑的文档进行存储,可以用()快捷键.",C,A:Alt+F,B:Alt+S,C:Ctrl+S,D:Ctrl+F,,,
第2章,"在""任务栏""中的任何一个按钮都代表着
().",B,"A:一个可执行
程序","B:一个正在执行
的程序","C:一个缩小的程
序窗口","D:一个不工
作的程序窗",,,
第2章,"在Windows操作系统中,关于P&P硬件的使用,正确的说法是().",C,"A:Windows2000保证自动正确地配置P&P设 备,永远不需要
用户干预","B:P&P设备只能由操作系统自动配置,用户不能手工配置",C:非P&P设备只能由用户手工配置,D:非P&P设备与P&P设备不能用在同一台计算机上,,,
第2章,"在Windows的""资源管理器""窗口中,如果想一次选定多个分散的文件或文件夹,正
确的操作是().",B,"A:按住Ctrl键,用鼠标右键单
击,逐个选取","B:按住Ctrl键,用鼠标左键单
击,逐个选取","C:按住Shift键,用鼠标右键单
击,逐个选取","D:按住Shift键,用鼠标左
键单击,逐个",,,
第2章,"在Windows的""资源管理器""窗口左部,单 击文件夹图标左侧的加号(+)后,屏幕上显示结果的变化是().",C,"A:窗口左部显示的该文件夹的下级文件夹
消失",B:该文件夹的下级文件夹显示在窗口右部,C:该文件夹的下级文件夹显示在窗口左部,"D:窗口右部显示的该文件夹的下级
文件夹消失",,,
第2章,"在Windows的回收站中,可以恢复().",A,"A:从硬盘中删除的文件或文
件夹",B:从软盘中删除的文件或文件夹,C:剪切掉的文档,"D:从光盘中删除的文件
或文件夹",,,
第2章,在Windows的资源管理器中不允许().,D,"A:一次删除多
个文件","B:同时选择多个
文件","C:一次拷贝多个
文件","D:同时启动
多个应用程",,,
第2章,"在Windows系统中,口令应在()设置.",A,A:控制面板中,B:资源管理器中,"C:系统的安装文
件中","D:开始菜单
中",,,
第2章,"在Windows中,不能从()启动应用程序.",D,A:资源管理器,B:我的电脑,C:开始菜单,D:任务列表,,,
第2章,"在Windows中,对系统软硬件资源进行设
置,或添加,删除程序时,可使用()中的项",A,A:控制面板,B:打印机,C:任务栏,D:我的文档,,,
第2章,"在Windows中,各应用程序之间的信息交
换是通过()进行的.",B,A:记事本,B:剪贴板,C:画图,D:写字板,,,
第2章,"在Windows中,将当前屏幕上的整个画面复制到剪贴板的操作是().",A,A:按 PrintScreen,"B:按 Alt+PrintScre
en","C:按 Ctrl+PrintScr
een","D:按 Shift+Print
Screen",,,
第2章,"在Windows中,如果要安装Windows附加组
件,应选择().",B,"A:""控制面板""
中的""安装/卸","B:""控制面板""中
的""安装","C:""控制面板""中
的""启动盘""","D:不可以安
装",,,
第2章,"在Windows中,提供了一个用于在应用程 序内部或不同应用程序之间共享信息的工
具,它是().",C,A:共享文件夹,B:公文包,C:剪贴板,D:我的文档,,,
第2章,"在Windows中,要改变屏幕保护程序的设
置,应首先双击控制面板窗口中的().",B,"A:""多媒体""图
标","B:""显示""图标","C:""键盘""图标","D:""系统""图
标",,,
第2章,在Windows中在实施打印前().,B,A:需要安装打印应用程序,"B:用户需要根据打印机的型号,安装相应的打印
机驱动程序",C:不需要安装打印机驱动程序,D:系统将自动安装打印机驱动程序,,,
第2章,"在画图中,选用""矩形""工具后,移动鼠标到
绘图区,拖动鼠标时按住()键,可以绘制正",C,A:Alt,B:Ctrl,C:Shift,D:Space,,,
第3章,Word2003中选定一行文本的技巧方法是 ().,B,A:将鼠标箭头置于目标处单击,"B:将鼠标箭头置于此行的选定栏并出现选定光标
单击",C:用鼠标在此行的选定栏双击,D:用鼠标三击此行,,,
第3章,Word2007文档的扩展名是().,B,A:doc,B:docx,C:dot,D:txt,,,
第3章,Word2010所认为的字符不包括().,D,A:汉字,B:数字,C:特殊字符,D:图片,,,
第3章,Word2010文档的类型是().,C,A:DOC,B:DOCS,C:DOCX,D:DOT,,,
第3章,"Word2010中在文档中选取间隔的多个文
本对象按下()键.",C,A:Alt,B:Shift,C:Ctrl,"D:Ctrl+Shif
t",,,
第3章,"Word在文档中文字下有蓝色下划线,这是怎么回事?",B,A:存在语法错误,"B:单词拼写正确,但在句子中
使用不当",C:专有名称拼写错误,,,,
第3章,Word中插入图片的默认版式为().,A,A:嵌入型,B:紧密型,C:浮于文字上方,D:四周型,,,
第3章,"Word窗口""文件""菜单底部的若干文件名表明().",C,A:这些文件目前均处于打开状态,B:这些文件目前正排队等待打印,C:这些文件最近用Word处理过,"D:这些文件是当前目录中扩展名
为.DOC的文",,,
第3章,Word窗口中的()可根据需要进行隐藏或,A,A:状态栏,B:所有部分,C:标题栏,D:编辑区,,,
第3章,Word的最大的特点是().,B,"A:有丰富的字
体",B:所见即所得,"C:强大的制表功
能",D:图文混排,,,
第3章,"Word环境下,可同时看到()文档的内容.",A,A:多个,B:一个,C:二个,D:三个,,,
第3章,Word启动后将自动打开一个名为()的文,C,A:BOOK1,B:NONAME,C:文档1,D:文件1,,,
第3章,Word属于().,B,A:操作系统,B:字处理软件,C:语言编译软件,"D:图形处理
软件",,,
第3章,"Word提供四种显示文档方式,其中所见即
所得的显示效果方式是().",A,A:页面视图,B:普通视图,C:大纲视图,D:打印视图,,,
第3章,"Word文本编辑中,文字的输入方式有插入和改写两种方式,要将插入方式转换为改
写方式可按().",C,A:Ctrl键,B:Delet键,C:Insert键,D:Shift键,,,
第3章,"Word文件""莱单底端列出的几个文件名是
().",B,"A:用于文件的
切换","B:被Word处理的
文件名","C:这些文件已打
开","D:正在打印
的文件名",,,
第3章,"Word中,当前已打开一个文件,若想打开另一文件则().",C,"A:首先关闭原来的文件,才能
打开新文件","B:打开新文件时,系统会自动
关闭原文件",C:两个文件可以同时打开,"D:新文件的内容将会加
入原来打开",,,
第3章,Word中的标尺不可以用于().,D,"A:设置段落的
缩进或制表位",B:改变左右边界,"C:改变分栏的栏
宽或表格的栏宽","D:设置首字
下沉",,,
第3章,"边界""左缩进""、""右缩进""是指段落的左右边界().",B,A:以纸张边缘为基准向内缩进,"B:以""页边距""的位置为基准向内缩进","C:以""页边距""的位置为基准,都向左移动或都向
右移动","D:以纸张的中心位置为基准,分别向
左,向右移动",,,
第3章,撤消上一次操作命令的方法是().,D,A:Ctrl+A,B:Ctrl+X,C:Ctrl+G,D:Ctrl+Z,,,
第3章,窗口菜单中的某个命令对应的快捷键().,C,A:可以在工具栏中查到,"B:可以在鼠标右键单击该命令后出现的快捷菜单
中查到",C:是指该命令名右边不加括弧的按键或按键组合,"D:是指该命令名旁括弧中带下划线
的字母",,,
第3章,"窗口的移动可通过鼠标选取()后按住左键
不放,至任意处放开来实现.",A,A:标题栏,B:工具栏,C:状态栏,D:菜单栏,,,
第3章,窗口最顶行是().,A,A:标题栏,B:状态栏,C:菜单栏,D:任务栏,,,
